BSSID,SSID,Encryption,Channel,Average Beacon Interval,Average Strength Signal,Number of Packets,Interval Summation,RSSI Summation
74:cc:39:89:ab:98,PLDTHOMEFIBR9ab98,WPA2/WPA,1,2.43518157604,-76,955,2325.59840512,-72152
4c:81:20:92:43:be,PLDTHOMEDSLALLUPWorkersUnion,WPA2/WPA,1,2.73850453952,-75,895,2450.96156287,-66540
24:79:2a:21:42:08,DILNET-WIFI,OPN,1,3.84774523239,-90,73,280.885401964,-6522
f0:8c:fb:80:34:48,PLDTHOMEFIBR_803448,WPA2/WPA,3,2.47455737234,-75,948,2345.88038898,-70526
58:c5:cb:66:14:6b,Aam,WPA2,1,6.58394042243,-79,331,2179.28427982,-26092
8c:34:fd:42:2e:4f,basurang globe,WPA2,1,17.3697247505,-90,8,138.957798004,-719
28:ff:3e:3d:e9:b5,bayandslENRIQUEZ,WPA2/WPA,2,3.20430337808,-75,685,2194.94781399,-51200
e4:77:23:a0:41:0c,UP Post Office,WPA2/WPA,4,1.83065537009,-76,1273,2330.42428613,-95560
74:cc:39:89:cc:d8,IAmTilin,WPA2/WPA,5,7.50289842852,-83,310,2325.89851284,-25712
00:23:69:38:79:a0,PLDTHOMEFIBR_268830,WPA2/WPA,6,1.21272562554,-70,2142,2597.65828991,-148161
bc:3a:ea:9a:cb:65,Tell My Wi-Fi Love Her,WPA2,6,27.6888395309,-91,15,415.332592964,-1355
d0:04:92:01:a3:10,PLDTHOMEFIBR_01a310,WPA2/WPA,7,2.5725136966,-75,1058,2721.719491,-78684
34:ba:9a:4f:df:d5,Crystal Gems,WPA2,7,2.42118318221,-81,170,411.601140976,-13727
d0:04:92:01:1f:00,PLDTHOMEFIBR_011f00,WPA2/WPA,9,2.73974563264,-77,849,2326.04404211,-64834
74:cc:39:30:4a:e0,PLDTHOMEFIBR_Maganda_Si_Girlie,WPA2/WPA,9,2.17888420278,-74,946,2061.22445583,-69513
dc:ee:06:c0:70:f8,Flip Production,WPA2/WPA,0,8.39961826272,-84,293,2461.08815098,-24534
90:61:0c:3a:12:77,DacanayWifi,WPA2/WPA,10,1.02400321431,-92,9,9.21602892876,-822
00:73:e0:94:cf:e5,AndroidAP,WPA2,11,2.61209280526,-78,816,2131.46772909,-63308
94:46:96:1d:8a:21,PLDTHOMEDSL7J7A0,WPA2/WPA,10,3.71121790717,-75,549,2037.45863104,-40966
00:26:75:b7:4e:2b,OgenaDSLWiFi,WPA2/WPA,11,5.05364478835,-82,407,2056.83342886,-33269
14:9a:10:f9:3a:6e,ewwwww,WPA2,11,4.03881259609,-75,607,2451.55924582,-45198
9c:a9:e4:93:5f:a5,Sun Wi-Fi_935FA4,OPN,11,7.06852044043,-84,366,2587.0784812,-30529
f0:3e:90:01:cf:88,DILNET-WIFI,OPN,11,2.68131971822,-89,206,552.351861954,-18268
00:13:33:e1:c5:73,PLDTHOMEDSL_GUS,WPA2/WPA,11,4.0850198371,-77,467,1907.70426393,-35498
bc:c0:0f:d4:42:50,PLDTHOMEFIBR44250,WPA2/WPA,11,4.65199839769,-76,556,2586.51110911,-42144
f0:3e:90:01:cd:58,DILNET-WIFI,OPN,11,19.1562732118,-92,14,268.187824965,-1280
36:69:87:ab:fb:c6,Wifi,WPA2/WPA,13,2.3379316564,-82,937,2190.64196205,-76121
1c:b9:c4:20:b4:88,#SmartWifi @UPDiliman,OPN,1,2.77206696244,-81,297,823.303887844,-23966
ee:1d:7f:a2:5f:00,WOW_Smart,WPA2/WPA,1,0.184324430165,-79,95,17.5108208656,-7412
24:79:2a:21:41:f8,DILNET-WIFI,OPN,1,-1,-88,1,0,-88
9c:6f:52:35:04:03,Gazmen,WPA2/WPA,1,8.56942282765,-77,302,2587.96569395,-23165
74:cc:39:ca:4d:08,DILIGUBAT,WPA2,3,12.8740204625,-85,184,2368.81976509,-15537
24:79:2a:21:35:18,DILNET-WIFI,OPN,3,2.0017798073,-84,208,416.370199919,-17334
24:79:2a:21:11:68,DILNET-WIFI,OPN,6,14.1654575258,-86,154,2181.48045897,-13108
24:79:2a:21:15:38,DILNET-WIFI,OPN,6,34.2183892131,-91,4,136.873556852,-362
24:79:2a:21:0d:a8,DILNET-WIFI,OPN,6,1.18179762363,-91,8,9.45438098907,-725
44:94:fc:7e:56:6c,NETGEAR62,WPA2,6,100.615197213,-91,23,2314.14953589,-2084
74:cc:39:ca:37:f0,UPPFI,WPA2/WPA,6,2.7403948437,-77,697,1910.05520606,-53002
8e:79:67:93:32:78,123,WPA2,2,5.17312639437,-88,81,419.023237944,-7048
74:91:1a:20:66:68,DILNET-WIFI,OPN,6,5.20278952213,-89,52,270.545055151,-4620
24:79:2a:21:42:e8,DILNET-WIFI,OPN,8,10.8408680964,-88,50,542.043404818,-4378
78:44:76:cb:c9:54,KALAYAAN-ADMIN,WPA2,11,4.11106020563,-91,68,279.552093983,-6124
e8:1d:a8:1f:16:08,DILNET-WIFI,OPN,11,0.460828065872,-93,2,0.921656131744,-186
74:91:1a:28:f8:78,DILNET-WIFI,OPN,1,3.51533339024,-86,80,281.226671219,-6828
e8:1d:a8:1f:86:d8,DILNET-WIFI,OPN,1,-1,-90,1,0,-90
bc:c0:0f:20:2e:e8,,WPA2/WPA,4,0.869813628353,-74,1582,1376.04516006,-116305
e6:8d:8c:d8:a9:31,#SmartWifiTest @UPDKalay,OPN,6,3.38827606837,-89,45,152.472423077,-3973
e4:8d:8c:d8:a9:30,,OPN,6,3.15391937362,-89,45,141.926371813,-3961
e6:8d:8c:d8:a9:30,_UP,OPN,6,2.98879866302,-88,48,143.462335825,-4216
1c:b9:c4:21:d0:e8,#SmartWifi @UPDiliman,OPN,11,-1,-87,1,0,-87
36:69:87:06:b6:71,MASE NHEL,WPA2/WPA,1,0.522453520574,-73,294,153.601335049,-21269
24:79:2a:21:42:28,DILNET-WIFI,OPN,4,0.213705627815,-91,46,9.83045887947,-4150
ac:af:b9:ce:05:30,Buddy,WPA2,1,0.531199805439,-83,32,16.998393774,-2647
94:a7:b7:3d:06:dd,TFSWM-UPD,WPA2/WPA,1,2.6320290682,-87,307,808.032923937,-26422
00:90:0e:06:71:10,WitTEA WiFi Vendo,OPN,6,2.97844844193,-78,276,822.051769972,-21276
d0:04:92:02:3b:a8,PLDTHOMEFIBR_023ba8,WPA2/WPA,7,1.27975591363,-76,961,1229.845433,-72466
bc:98:89:12:af:10,PLDTHOMEFIBR_SOFIAMILES@UPD,WPA2,7,8.53856093809,-85,128,1092.93580008,-10835
74:cc:39:8b:b8:28,,WPA2/WPA,8,2.23206245777,-81,489,1091.47854185,-39149
e0:8e:3c:1a:ea:ab,bayanDSLWIFI_EAAB,WPA2/WPA,1,7.57836937904,-81,108,818.463892937,-8710
cc:06:77:62:de:88,PLDTHOMEFIBR2de88,WPA2/WPA,1,2.5878746131,-74,951,2461.06875706,-69900
3c:fa:43:a1:a2:88,HUAWEI-A288,WPA2,3,1.15740960228,-77,588,680.556846142,-44702
74:cc:39:87:37:f8,,WPA2/WPA,8,2.47629476751,-78,989,2449.05552506,-76209
9c:88:ad:a1:62:58,PLDTHOMEFIBRsulla,WPA2/WPA,2,11.94678158,-89,69,824.32792902,-6120
94:b1:0a:90:29:ad,DD,WPA2,6,1.33119869232,-92,3,3.99359607697,-276
80:71:7a:e9:6c:15,Latte Girl,WPA2,6,16.7412946711,-86,49,820.323438883,-4206
bc:98:89:12:fa:20,PLDTHOMEFIBR_12fa20,WPA2/WPA,9,6.70654914916,-83,142,952.329979181,-11727
cc:06:77:6f:f3:c0,prego,WPA2/WPA,11,3.82604125472,-73,569,2177.01747394,-41360
60:31:97:dc:e5:74,PLDTBIZ-CKC,WPA2/WPA,13,2.23388887552,-91,65,145.202776909,-5907
94:a7:b7:26:6f:7e,bayanDSLWIFI_6F7E,WPA2/WPA,1,0.102398316065,-90,3,0.307194948196,-269
e0:8e:3c:1b:6d:7f,art circle gallery,WPA2/WPA,1,0.204803307851,-89,3,0.614409923553,-266
48:f8:b3:d3:91:33,PLDTFiber2F-1 (2.4Ghz),WPA2,2,9.8382666111,-82,13,127.897465944,-1057
08:86:3b:32:0d:02,belkin.d02,WPA2/WPA,3,0.809893716465,-92,11,8.90883088112,-1002
48:f8:b3:e3:38:30,FPI Admin Wifi,WPA2,4,0.542648911476,-91,10,5.42648911476,-903
00:21:29:c8:e2:1c,ERP,WPA2,6,0.317829583821,-93,19,6.03876209259,-1751
74:cc:39:30:b4:60,PLDTHOMEFIBR_30b460,WPA2,11,4.03629236751,-93,36,145.30652523,-3318
d0:04:92:10:fb:d8,PLDTHOMEFIBRNoNetworkAvailable,WPA2/WPA,1,2.47551825248,-80,166,410.936029911,-13117
88:dc:96:2b:75:88,EnGenius1-2GMain,WPA2,6,473.343106985,-89,4,1893.37242794,-355
b0:ee:7b:d7:c5:ad,,WPA2,7,3.27556861452,-78,166,543.744390011,-12932
6c:19:8f:c3:ad:2c,searching....,WPA2/WPA,9,1.16799902714,-65,591,690.287425041,-38016
00:13:33:d9:60:52,PLDTHOMEDSL_SANDOVAL,WPA2/WPA,11,3.32849987572,-73,604,2010.41392493,-43892
cc:06:77:70:7d:00,PLDTHOMEFIBR07d00,WPA2/WPA,11,6.87289803942,-80,279,1917.538553,-22058
7c:c7:09:a8:eb:1f,Mitsubishi Wireless TV 804,OPN,36,8.48774033123,-83,9,76.389662981,-745
78:c3:e9:09:a0:ae,Reivax,WPA2,1,1.95866159145,-77,149,291.840577126,-11353
00:26:75:b7:9c:46,shinigami,WPA2/WPA,1,2.87336499691,-88,50,143.668249846,-4352
9c:6f:52:35:0d:3e,bayanDSLWIFI_0D3E,WPA2/WPA,1,4.67843296586,-75,410,1918.157516,-30432
74:cc:39:3c:f4:90,PLDTHOMEFIBRLG,WPA2/WPA,6,0.966155422198,-71,154,148.787935019,-10925
5c:f2:86:25:00:35,SmartBro_250035,WPA2/WPA,8,8.43558376961,-83,178,1501.53391099,-14694
74:cc:39:8a:bd:18,PLDTHOMEFIBRabd18,WPA2/WPA,9,0.503491268158,-70,325,163.634662151,-22437
64:d1:54:2e:20:40,BNETS_2E2040,WPA2,1,2.03136164227,-79,344,698.788404942,-27112
66:d1:54:2e:20:40,BAYANIHANETS,OPN,1,2.41578211751,-78,289,698.161031961,-22529
4c:09:b4:a2:49:a1,bayanDSL,WPA,1,0.682668745518,-92,12,8.19202494621,-1097
98:fc:11:c7:06:38,We have internet you dont,WEP,6,15.265923423,-90,99,1511.32641888,-8859
74:cc:39:ba:de:e0,PLDTHOMEFIBRadee0,WPA2/WPA,12,3.51255065941,-80,420,1475.27127695,-33554
bc:98:89:9d:4b:70,PLDTHOMEFIBR_DEVERA,WPA2/WPA,12,5.28244783125,-80,307,1621.71148419,-24279
70:9f:2d:a1:25:74,bayanDSLWiFi_2574,WPA2/WPA,2,18.336356926,-92,15,275.045353889,-1366
18:a3:e8:1f:7f:28,SORRYNOTSORRY,WPA2/WPA,6,1.42012820476,-79,205,291.126281977,-16144
da:0f:99:8f:a8:ce,DIRECT-NX-BRAVIA,WPA2,6,5.53370587349,-89,25,138.342646837,-2217
90:61:0c:0e:c2:d4,PLDTMyDSL+GadielBadiel,WPA2/WPA,11,7.62545554903,-84,180,1372.58199883,-14999
e0:8e:3c:21:e0:b3,WIFI NI ATE BABES,WPA2/WPA,11,1.0305609593,-75,390,401.918774128,-29055
4c:81:20:92:04:be,PLDTHOMEDSL204BE,WPA2/WPA,7,1.06395443551,-74,264,280.883970976,-19273
74:cc:39:ba:dc:c0,PLDTHOMEFIBRadcc0,WPA2/WPA,1,2.16616601603,-78,630,1364.6845901,-48671
3a:ff:24:54:17:8c,BZDy-Y29yZGlhbG1pbGFncm9zNzQ,OPN,1,1.6939903269,-79,245,415.027630091,-19218
36:69:87:06:53:ce,Gorg3,WPA2,2,2.13976216378,-81,385,823.808433056,-30946
28:10:7b:64:82:34,Web796ZB5591deeds,WPA2/WPA,4,2.21014392376,-83,12,26.5217270851,-993
74:cc:39:8b:b8:08,The_Peasant_Club,WPA2/WPA,3,1.46910714494,-77,470,690.480358124,-36101
38:46:08:f3:26:50,bayan DSL,WPA,4,2.06457288125,-88,68,140.390955925,-5925
a4:71:74:4a:13:f6,Gonzales wifi,WPA2,1,13.0049154835,-92,31,403.15237999,-2823
38:d8:2f:22:80:3c,bayanDSLWiFi_803C,WPA2/WPA,1,2.15312095652,-80,188,404.786739826,-14938
d4:ae:05:db:1e:8d,anakNiBatman,WPA2,6,0.202762801126,-74,151,30.61718297,-11164
5c:f2:86:27:db:3b,Globe_LTE MIFI_DB3B,WPA2/WPA,7,0.436090816686,-82,81,35.3233561516,-6628
5c:f2:86:25:ad:f5,stickbread,WPA2/WPA,8,69.2110999823,-92,2,138.422199965,-183
5c:f2:86:23:a2:b1,SmartBro_23A2B1,WPA2/WPA,13,0.906229734421,-93,7,6.34360814095,-645
aa:a6:68:68:ac:52,linksys,WPA2/WPA,1,-1,-93,1,0,-93
f0:8c:fb:ce:4d:88,PLDTHOMEFIBR_ce4d88,WPA2/WPA,9,1.34583272253,-91,7,9.42082905769,-636
d0:04:92:03:78:20,PLDTHOMEFIBR_037820,WPA2/WPA,9,2.97176637749,-88,48,142.644786119,-4181
9c:6f:52:35:16:32,YoMommaSoFat,WPA2/WPA,10,1.31294383141,-80,415,544.871690035,-32863
94:a7:b7:26:68:92,DFC1434454,WPA2/WPA,10,4.24960756302,-90,2,8.49921512604,-180
9c:c1:72:03:de:60,Chibi,WPA2,11,1.19291407974,-80,351,418.712841988,-27876
00:26:75:fa:16:2e,bayanDSLWiFi_162E,WPA2/WPA,11,15.1446662188,-90,10,151.446662188,-900
00:13:33:e6:06:3f,PLDTHOMEDSL,WPA2/WPA,11,2.16633097482,-77,315,682.394257069,-24197
88:d2:74:86:a8:aa,bayanDSLWIFI_A8AA,WPA2/WPA,1,1.10810220921,-77,263,291.430881023,-20097
bc:c0:0f:c8:6c:58,g6fiber,WPA2/WPA,1,1.48880598286,-73,460,684.850752115,-33159
e0:8e:3c:21:5a:37,bayanDSLWIFI_5A37,WPA2/WPA,1,43.7245396773,-91,3,131.173619032,-271
74:cc:39:86:04:18,PLDTHOMEFIBR_860418,WPA2/WPA,4,-1,-90,1,0,-90
76:4a:a4:7e:ae:ca,Char,WPA2/WPA,6,1.40961363371,-84,303,427.112931013,-25435
ec:9b:f3:35:4f:9a,ANJO's Note5,WPA2,6,7.92293485233,-89,35,277.302719831,-3098
74:cc:39:ba:cc:f0,PLDTHOMEFIBRaccf0,WPA2/WPA,8,1.3394525451,-79,310,415.230288982,-24374
74:cc:39:c9:c6:c8,PLDTHOMEFIBR9c6c8,WPA2/WPA,8,4.14718174934,-91,4,16.5887269974,-361
b4:75:0e:cc:84:ce,Guevara,WPA2/WPA,1,1.55838125651,-80,183,285.183769941,-14477
36:69:87:4d:82:b4,DiegoBolt,WPA2/WPA,2,1.578146443,-81,260,410.31807518,-20985
a0:8d:16:aa:15:ee,Lulu Olaguer,WPA2,4,0.612335405928,-82,495,303.106025934,-40489
08:10:73:60:f2:a8,DeVera_RTR,WPA2/WPA,6,0.70353028615,-77,1003,705.640877008,-76450
74:cc:39:bb:02:c8,TRINIDAD.TRINIDAD,WPA2,9,0.838544056712,-75,651,545.89218092,-48720
bc:c0:0f:bf:4e:e8,PLDTHOMEFIBRf4ee8,WPA2/WPA,9,1.13542925031,-75,363,412.160817862,-26902
74:cc:39:ca:62:98,PLDTHOMEFIBRa6298,WPA2/WPA,9,0.443486690521,-93,3,1.33046007156,-277
94:a7:b7:26:42:31,bayanDSLWIFI_4231,WPA2/WPA,10,0.830585731062,-77,665,552.339511156,-50660
bc:c0:0f:c8:e0:70,PLDTHOMEFIBR8e070,WPA2/WPA,10,0.102411667506,-94,3,0.307235002518,-281
88:d2:74:86:b4:46,bayanDSLWIFI_B446,WPA2/WPA,11,0.97752354627,-75,564,551.323280096,-42009
c0:4a:00:4a:46:44,Fonseca_WIFI,WPA2,5,0.72882014597,-86,213,155.238691092,-18121
74:cc:39:ca:a1:00,Kylee's Fibr Wifi,WPA2/WPA,6,2.0318100672,-88,76,154.417565107,-6667
f4:f2:6d:8b:6d:10,HLB1!_M_VIOLA,WPA2/WPA,5,0.178087472916,-91,23,4.09601187706,-2089
d0:04:92:01:a5:e0,PLDTHOMEFIBR_DERF,WPA2/WPA,12,1.88537607689,-80,221,416.668112993,-17604
28:6c:07:8b:65:32,PLDTHOMEFIBR_DERF_plus,WPA2/WPA,12,1.1830169796,-82,246,291.022176981,-20113
e0:8e:3c:22:67:77,bayanDSLWIFI_DEVERA,WPA2/WPA,1,2.18164848189,-84,131,285.795951128,-10905
cc:06:77:6f:33:c0,PLDTHOMEFIBRf33c0,WPA2/WPA,1,1.31726407929,-80,316,416.255449057,-25204
74:cc:39:ba:df:68,PLDTHOMEFIBRadf68,WPA2/WPA,1,-1,-85,1,0,-85
88:d2:74:86:b7:75,bayanDSLWIFI_B775,WPA2/WPA,2,1.75646107057,-86,85,149.299190998,-7235
bc:c0:0f:d2:b8:00,PLDTHOMEFIBR2b800,WPA2/WPA,1,65.8685879707,-90,4,263.474351883,-359
e0:8e:3c:1a:a2:e7,,WPA2/WPA,2,7.02203729749,-89,40,280.881491899,-3551
5c:f2:86:24:02:ab,LTE339810,WPA2/WPA,7,0.0511699914932,-92,2,0.102339982986,-184
74:cc:39:ca:6c:88,Armandong,WPA2/WPA,9,0.437522801486,-90,11,4.81275081635,-982
c8:b3:73:10:57:b5,caloytheman,WPA2/WPA,11,0.630152005416,-89,13,8.1919760704,-1155
60:31:97:13:7b:67,PLDTMyDSLBizkevs,WPA2/WPA,12,1.23373488167,-84,228,281.29155302,-19052
00:13:33:bf:ae:9b,PLDTHOMEDSL,WPA2/WPA,11,0.898854785495,-81,9,8.08969306946,-722
48:f8:b3:50:77:91,laura,WPA2,1,3.36728767462,-87,43,144.793370008,-3699
e0:8e:3c:1a:c4:9b,UPCubao,WPA2/WPA,1,1.27679221439,-81,224,286.001456022,-18017
4c:81:20:f3:29:d3,PLDTHOMEDSL329D3,WPA2/WPA,5,0.755329251289,-92,8,6.04263401031,-735
18:a3:e8:1f:5a:08,PLDTHOMEFIBRk,WPA2/WPA,9,0.329957410141,-92,54,17.8177001476,-4955
18:a3:e8:1f:5a:09,PLDTHOMEFIBRa08,WPA2,9,0.148252910642,-93,67,9.93294501305,-6168
74:cc:39:30:f4:f8,PLDTHOMEFIBR_30f4f8,WPA2/WPA,3,0.357733893394,-65,460,164.557590961,-29652
cc:06:77:6f:ed:d8,PLDTHOMEFIBRfedd8,WPA2/WPA,5,1.33472270596,-87,116,154.827833891,-10003
f0:8c:fb:80:d7:90,PLDTHOMEFIBRza,WPA2/WPA,9,0.130075757568,-92,74,9.62560606003,-6760
bc:c0:0f:82:03:d8,Betelgeuse,WPA2/WPA,10,0.249481235851,-88,110,27.4429359436,-9602
