Common,32
BSSID,SSID,Wigle-Encryption,RPi-Encryption,Wigle-Channel,RPi-Channel,Wigle Avg RSSI,RPi Avg RSSI
4c:81:20:92:43:be,PLDTHOMEDSLALLUPWorkersUnion,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],WPA2/WPA,1,1,-71,-72
1c:b9:c4:20:b4:88,#SmartWifi @UPDiliman,[ESS],OPN,1,1,-78,-79
20:08:ed:32:db:da,SMART-BRO-DBDA,[WPA2-PSK-CCMP][WPS][ESS],WPA2,2,2,-86,-82
e0:8e:3c:1a:ea:ab,bayanDSLWIFI_EAAB,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,1,1,-82,-82
d0:04:92:01:a3:10,PLDTHOMEFIBR_01a310,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],WPA2/WPA,3,3,-78,-85
74:cc:39:30:4a:e0,PLDTHOMEFIBR_Maganda_Si_Girlie,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],WPA2/WPA,3,3,-83,-79
aa:a6:68:68:98:c6,Smart Bro_6898C6,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],WPA2/WPA,1,1,-80,-79
cc:06:77:6f:f3:c0,prego,[WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS],WPA2/WPA,9,9,-70,-89
e0:8e:3c:1b:6d:7f,art circle gallery,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,1,1,-88,-87
00:26:75:b7:9c:46,shinigami,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],WPA2/WPA,1,1,-83,-85
4c:09:b4:a2:49:a1,bayanDSL,[WPA-PSK-CCMP+TKIP][ESS],WPA,1,1,-85,-86
64:d1:54:2e:20:40,BNETS_2E2040,[WPA2-PSK-CCMP][WPS][ESS],WPA2,3,3,-75,-71
66:d1:54:2e:20:40,BAYANIHANETS,[ESS],OPN,3,3,-74,-73
74:cc:39:89:ab:98,PLDTHOMEFIBR9ab98,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,1,1,-71,-72
38:46:08:f3:26:50,bayan DSL,[WPA-PSK-CCMP+TKIP][ESS],WPA,1,1,-86,-84
38:d8:2f:22:80:3c,bayanDSLWiFi_803C,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],WPA2/WPA,1,1,-73,-78
9c:6f:52:35:04:03,Gazmen,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],WPA2/WPA,1,1,-74,-75
88:d2:74:86:a8:aa,bayanDSLWIFI_A8AA,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],WPA2/WPA,3,3,-78,-72
9c:6f:52:35:16:32,YoMommaSoFat,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],WPA2/WPA,2,2,-73,-70
1c:8e:5c:3f:c0:f8,B593_FC0F8,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,1,1,-80,-77
bc:c0:0f:c8:6c:58,g6fiber,[WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS],WPA2/WPA,1,1,-70,-68
b4:75:0e:cc:84:ce,Guevara,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],WPA2/WPA,1,1,-82,-79
00:26:75:b7:c0:a9,amber_wifi,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],WPA2/WPA,2,2,-85,-75
74:cc:39:ba:df:68,PLDTHOMEFIBRadf68,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,3,3,-82,-78
b4:30:52:0d:60:13,Vrow,[WPA2-PSK-CCMP][WPS][ESS],WPA2,2,2,-72,-75
e0:8e:3c:22:67:77,bayanDSLWIFI_DEVERA,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,1,1,-77,-79
94:a7:b7:26:42:31,bayanDSLWIFI_4231,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],WPA2/WPA,1,1,-70,-76
88:d2:74:86:b7:75,bayanDSLWIFI_B775,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],WPA2/WPA,1,1,-84,-82
c0:4a:00:4a:46:44,Fonseca_WIFI,[WPA2-PSK-CCMP][WPS][ESS],WPA2,1,1,-85,-84
d0:04:92:01:a5:e0,PLDTHOMEFIBR_DERF,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],WPA2/WPA,1,1,-80,-78
48:f8:b3:50:77:91,laura,[WPA2-PSK-CCMP][WPS][ESS],WPA2,1,1,-88,-86
e0:8e:3c:1a:c4:9b,UPCubao,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,1,1,-76,-78
 
Wigle Unique,103
BSSID,SSID,Wigle-Encryption,Wigle-Channel,Wigle Avg RSSI
00:23:69:38:79:a0,PLDTHOMEFIBR_268830,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],6,-74
6c:3b:6b:ca:a0:d5,bnetsMesh,[WPA2-PSK-CCMP][WPS][ESS],52,-74
6c:3b:6b:cc:aa:cf,bnetsMesh,[WPA2-PSK-CCMP][WPS][ESS],52,-77
f0:8c:fb:80:34:48,PLDTHOMEFIBR_803448,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],9,-83
d0:04:92:01:1f:00,PLDTHOMEFIBR_011f00,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],9,-77
74:4a:a4:a8:49:ec,Henriel,[WPA2-PSK-CCMP][ESS],11,-89
14:9a:10:f9:3a:6e,ewwww,[WPA2-PSK-CCMP][WPS][ESS],11,-68
24:79:2a:21:35:1c,DILNET-WIFI,[ESS],58,-89
24:79:2a:21:11:68,DILNET-WIFI,[ESS],6,-85
70:72:3c:e5:aa:98,Spudbutt,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],11,-74
1c:b9:c4:20:b4:8c,#SmartWifi @UPDiliman,[ESS],36,-86
51502_30203_210495282,Globe,HSPA;ph,0,-91
24:79:2a:21:11:6c,DILNET-WIFI,[ESS],5580,-84
74:91:1a:28:f8:78,DILNET-WIFI,[ESS],6,-83
bc:c0:0f:20:2e:e8,,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],9,-72
78:44:76:cb:c9:54,KALAYAAN-ADMIN,[WPA2-PSK-CCMP][ESS],11,-85
74:cc:39:8b:b8:28,,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],6,-77
00:90:0e:06:71:10,WitTEA WiFi Vendo,[ESS],6,-73
51502_30232_210465481,Globe,HSPA;ph,0,-100
d0:04:92:02:3b:a8,PLDTHOMEFIBR_023ba8,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],5,-78
9c:88:ad:a1:62:58,PLDTHOMEFIBRsulla,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],13,-83
d4:ae:05:fb:b8:fb,AndroidAP,[WPA2-PSK-CCMP][ESS],6,-86
cc:06:77:62:de:88,PLDTHOMEFIBR2de88,[WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS],6,-79
51502_30232_210478234,Globe,HSPA;ph,0,-97
cc:06:77:6f:f3:c4,preg0,[WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS],36,-74
74:cc:39:30:b4:60,PLDTHOMEFIBR_30b460,[WPA2-PSK-CCMP][WPS][ESS],11,-88
00:21:29:c8:e2:1c,ERP,[WPA2-PSK-CCMP][WPS][ESS],6,-88
48:f8:b3:d3:91:33,PLDTFiber2F-1 (2.4Ghz),[WPA2-PSK-CCMP][WPS][ESS],4,-89
60:31:97:dc:e5:74,PLDTBIZ-CKC,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],13,-89
6c:3b:6b:ca:a3:ed,bnetsMesh,[WPA-PSK-CCMP][WPA2-PSK-CCMP][WPS][ESS],52,-86
6c:3b:6b:ca:a5:97,bnetsMesh,[WPA-PSK-CCMP][WPA2-PSK-CCMP][WPS][ESS],52,-83
34:ba:9a:57:05:27,BahalaKaSaWifiMo,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],7,-75
00:13:33:d9:60:52,PLDTHOMEDSL_SANDOVAL,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],11,-70
51502_30203_210477573,Globe,HSPA;ph,0,-97
6c:19:8f:c3:ad:2c,searching....,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],9,-74
74:cc:39:30:f4:f8,PLDTHOMEFIBR_30f4f8,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],10,-76
74:cc:39:87:37:f8,,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],11,-81
94:46:96:1d:8a:21,PLDTHOMEDSL7J7A0,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],10,-75
6c:19:8f:c3:ad:2e,dlink-AD2C-5GHz,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],149,-82
e0:8e:3c:22:2a:0b,bayanDSLWIFI_2A0B,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],11,-82
d0:04:92:10:fb:d8,PLDTHOMEFIBRNoNetworkAvailable,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],12,-84
74:cc:39:3c:f4:90,PLDTHOMEFIBRLG,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],6,-79
51502_20213_13178,Globe,EDGE;ph,0,-83
cc:06:77:62:de:8c,PLDTHOMEFIBR5G2de88,[WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS],36,-80
74:cc:39:8a:bd:18,PLDTHOMEFIBRabd18,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],8,-75
bc:98:89:12:fa:20,PLDTHOMEFIBR_12fa20,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],9,-79
00:f4:6f:39:15:b3,AndroidAP,[WPA2-PSK-CCMP][ESS],6,-77
00:13:33:e1:c5:73,PLDTHOMEDSL_GUS,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],11,-74
98:fc:11:c7:06:38,We have internet you dont,[WPS][WEP][ESS],6,-85
18:a3:e8:1f:7f:28,SORRYNOTSORRY,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],6,-83
5c:f2:86:2e:f9:af,kmfrwifi,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],8,-76
cc:06:77:21:04:28,Houseofgonz1,[WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS],11,-74
51502_20213_13110,Globe,EDGE;ph,0,-96
28:ff:3e:3d:e9:b5,bayandslENRIQUEZ,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],10,-74
cc:06:77:21:04:2c,Houseofgonz1,[WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS],36,-74
64:d1:54:2e:20:3f,BNETS_2E2040-5G,[WPA2-PSK-CCMP][WPS][ESS],48,-74
e0:8e:3c:21:e0:b3,WIFI NI ATE BABES,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],11,-73
28:10:7b:64:82:34,Web796ZB5591deeds,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],8,-82
4c:81:20:92:04:be,PLDTHOMEDSL204BE,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],7,-83
51502_30203_210478213,Globe,HSPA;ph,0,-89
74:cc:39:89:cc:d8,IAmTilin,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],6,-81
51502_30203_210495280,Globe,HSPA;ph,0,-99
6c:3b:6b:ca:a0:e7,bnetsMesh,[WPA2-PSK-CCMP][WPS][ESS],52,-91
bc:c0:0f:d4:42:50,PLDTHOMEFIBR44250,[WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS],7,-72
74:cc:39:ca:4d:08,DILIGUBAT,[WPA2-PSK-CCMP][ESS],8,-86
bc:c0:0f:d4:42:54,PLDTHOMEFIBR5G44250,[WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS],36,-78
74:cc:39:ba:dc:c0,PLDTHOMEFIBRadcc0,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],9,-77
bc:c0:0f:c8:6c:5c,g6fiber5,[WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS],36,-77
6c:3b:6b:cc:ab:23,bnetsMesh,[WPA2-PSK-CCMP][WPS][ESS],52,-88
74:cc:39:8b:b8:08,The_Peasant_Club,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],10,-76
00:1f:fb:c6:6a:a1,Home Network Test,[WPA2-PSK-CCMP][WPS][ESS],11,-83
74:cc:39:bb:02:c8,TRINIDAD.TRINIDAD,[WPA2-PSK-CCMP][WPS][ESS],9,-74
00:13:33:e6:06:3f,PLDTHOMEDSL,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],11,-77
bc:c0:0f:c8:e0:70,PLDTHOMEFIBR8e070,[WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS],5,-83
cc:06:77:23:0c:68,MANONGTIPID22,[WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS],11,-86
74:cc:39:ca:a1:00,Kylee's Fibr Wifi,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],6,-87
bc:c0:0f:bf:4e:e8,PLDTHOMEFIBRf4ee8,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],8,-84
08:10:73:60:f2:a8,DeVera_RTR,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],5,-76
5c:f2:86:24:87:92,SmartBro_248792,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],8,-86
bc:c0:0f:c8:e0:74,PLDTHOMEFIBR5G8e070,[WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS],44,-83
cc:06:77:23:0c:6c,MANONGTIPID22_5G,[WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS],36,-88
a4:7e:39:ad:ec:e4,sherlock,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],10,-89
bc:98:89:9d:4b:70,PLDTHOMEFIBR_DEVERA,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],12,-85
74:cc:39:ba:de:e0,PLDTHOMEFIBRadee0,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],9,-82
88:d2:74:86:b4:46,bayanDSLWIFI_B446,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],8,-78
74:cc:39:ba:dd:78,PLDTHOMEFIBRadd78,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],6,-84
bc:c0:0f:bf:4e:ec,PLDTHOMEFIBR5Gf4ee8,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],149,-82
cc:06:77:6f:ed:34,Fonseca_5G,[WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS],36,-84
60:31:97:13:7b:67,PLDTMyDSLBizkevs,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],5,-81
60:31:97:13:7b:68,PLDTMyDSLBiz5G7B660,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],100,-87
bc:c0:0f:82:03:d8,Betelgeuse,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],5,-80
cc:06:77:70:7d:00,PLDTHOMEFIBR07d00,[WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS],7,-77
74:cc:39:ba:cb:88,PLDTHOMEFIBRacb88,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],6,-67
18:a3:e8:1f:5a:09,PLDTHOMEFIBRa08,[WPA2-PSK-CCMP+TKIP][ESS],3,-81
f0:8c:fb:80:d7:90,PLDTHOMEFIBRza,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],9,-76
cc:06:77:70:7d:04,PLDTHOMEFIBR5G07d00,[WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS],36,-80
cc:06:77:6f:ed:d8,PLDTHOMEFIBRfedd8,[WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS],5,-75
18:a3:e8:1f:5a:08,PLDTHOMEFIBRk,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],3,-87
cc:06:77:6f:ed:dc,PLDTHOMEFIBR5Gfedd8,[WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS],36,-85
51502_30232_210478194,Globe,HSPA;ph,0,-104
51502_20216_13152,Globe,EDGE;ph,0,-91
51502_30232_210464817,Globe,HSPA;ph,0,-93
51502_30232_210449584,Globe,HSPA;ph,0,-93
 
RPi Unique,11
BSSID,SSID,RPi-Encryption,RPi-Channel,RPi Avg RSSI
24:79:2a:21:42:08,DILNET-WIFI,OPN,1,-85
24:79:2a:21:41:f8,DILNET-WIFI,OPN,1,-89
e8:1d:a8:1f:86:d8,DILNET-WIFI,OPN,1,-87
74:91:1a:20:66:68,DILNET-WIFI,OPN,1,-87
e0:8e:3c:1a:d1:0b,bayanDSLWIFI_D10B,WPA2/WPA,1,-90
e8:1d:a8:1f:75:78,DILNET-WIFI,OPN,1,-87
e4:6f:13:60:5c:4a,PLDTHOMEDSL3Fb,WPA2/WPA,1,-93
70:9f:2d:a1:25:74,bayanDSLWiFi_2574,WPA2/WPA,1,-76
e0:8e:3c:21:5a:37,bayanDSLWIFI_5A37,WPA2/WPA,1,-87
aa:a6:68:68:ac:52,linksys,WPA2/WPA,1,-89
00:26:75:fa:16:2e,bayanDSLWiFi_162E,WPA2/WPA,1,-88
