SSID,Net ID,TriLat,TriLong,Encryption,Channel,Type,Trans ID,First Time,Last Time,Last Updt
linksys,00:12:17:DB:C7:F3,14.69942856,121.10014343,wep,6,infra,20130416-00000,"2013-04-16, 11:00:00 PM","2013-04-17, 05:00:00 AM","2013-04-17, 03:00:00 AM"
PLDTHOMEDSLNALZARO,00:13:33:CE:E2:43,14.7000761,121.09123993,wpa2,11,infra,20160315-00000,"2001-01-01, 05:00:00 PM","2016-03-16, 06:00:00 AM","2016-03-16, 06:00:00 AM"
PLDTHOMEDSL,00:13:33:C6:DE:0E,14.69803143,121.09059143,wpa2,11,infra,20150126-00000,"2015-01-27, 06:00:00 AM","2015-01-26, 03:00:00 PM","2015-07-26, 08:00:00 AM"
linksys,00:1A:70:53:F0:E2,14.69912434,121.10221863,none,11,infra,20130424-00000,"2013-04-23, 09:00:00 PM","2013-04-25, 07:00:00 AM","2013-04-25, 05:00:00 AM"
KEISHA,00:1B:11:3C:2C:61,14.69935322,121.10236359,wep,6,infra,20130424-00000,"2013-04-23, 09:00:00 PM","2013-04-25, 07:00:00 AM","2013-04-25, 05:00:00 AM"
Conference Guest Wifi,00:1A:8C:08:05:41,14.69707394,121.09632111,none,1,infra,20130416-00000,"2013-04-16, 11:00:00 PM","2013-04-17, 05:00:00 AM","2013-04-17, 03:00:00 AM"
linksys,00:18:39:EB:BF:30,14.70044231,121.10298157,none,6,infra,20130506-00000,"2013-05-06, 10:00:00 PM","2013-05-07, 02:00:00 PM","2013-05-07, 12:00:00 PM"
cmod,00:1A:70:F2:C1:E3,14.6973381,121.09849548,wpa,11,infra,20130424-00000,"2013-04-23, 09:00:00 PM","2013-05-07, 02:00:00 PM","2013-05-07, 12:00:00 PM"
Dealino Home Network,00:18:39:F4:32:F7,14.70015621,121.1029129,wpa2,6,infra,20130424-00000,"2013-04-23, 09:00:00 PM","2013-05-06, 05:00:00 PM","2013-05-06, 03:00:00 PM"
linksys,00:1E:E5:48:42:22,14.69719791,121.09884644,none,11,infra,20130507-00000,"2013-05-07, 10:00:00 PM","2013-05-07, 02:00:00 PM","2013-05-07, 12:00:00 PM"
Conference Guest Wifi,00:1A:8C:08:05:40,14.69707394,121.09632111,none,1,infra,20130416-00000,"2013-04-16, 11:00:00 PM","2013-04-17, 05:00:00 AM","2013-04-17, 03:00:00 AM"
i miss you popoy,00:22:3F:9B:E0:24,14.69942665,121.10023499,wpa2,8,infra,20130416-00000,"2013-04-16, 11:00:00 PM","2013-05-07, 02:00:00 PM","2013-05-07, 12:00:00 PM"
Raud,00:22:6B:6F:9B:73,14.69808292,121.09955597,wpa2,6,infra,20130424-00000,"2013-04-23, 09:00:00 PM","2013-04-25, 07:00:00 AM","2013-04-25, 05:00:00 AM"
kurtwifi,00:1F:FB:75:1B:64,14.69948864,121.10001373,wpa,11,infra,20130506-00000,"2013-05-06, 10:00:00 PM","2013-05-07, 02:00:00 PM","2013-05-07, 12:00:00 PM"
Free Public Wifi,00:23:69:C3:9F:17,14.69946766,121.10189056,wpa2,6,infra,20130416-00000,"2013-04-16, 09:00:00 PM","2013-05-07, 02:00:00 PM","2013-05-07, 12:00:00 PM"
NETGEAR,00:24:B2:BC:2D:42,14.69725132,121.09879303,wpa,1,infra,20130507-00000,"2013-05-07, 10:00:00 PM","2013-05-07, 02:00:00 PM","2013-05-07, 12:00:00 PM"
MATRIX,00:23:69:CE:85:A4,14.69811153,121.10100555,wep,1,infra,20130424-00000,"2013-04-23, 09:00:00 PM","2013-04-25, 07:00:00 AM","2013-04-25, 05:00:00 AM"
galbraithWIFI,00:22:6B:78:38:C6,14.6978569,121.10001373,wpa2,6,infra,20130424-00000,"2013-04-23, 09:00:00 PM","2013-04-25, 07:00:00 AM","2013-04-25, 05:00:00 AM"
linksys,00:23:69:2C:04:BC,14.69919205,121.10227203,none,6,infra,20130424-00000,"2013-04-23, 09:00:00 PM","2013-04-25, 07:00:00 AM","2013-04-25, 05:00:00 AM"
garcia,00:23:69:A0:D9:76,14.69937706,121.10054779,wpa,1,infra,20130416-00000,"2013-04-16, 09:00:00 PM","2013-05-07, 02:00:00 PM","2013-05-07, 12:00:00 PM"
3M,00:24:B2:BC:0B:78,14.6996851,121.10214996,wpa2,1,infra,20130416-00000,"2013-04-16, 09:00:00 PM","2013-05-07, 02:00:00 PM","2013-05-07, 12:00:00 PM"
dlink,00:24:01:B8:DE:B9,14.69955921,121.09957886,wep,6,infra,20130507-00000,"2013-05-07, 11:00:00 PM","2013-05-07, 02:00:00 PM","2013-05-07, 12:00:00 PM"
Rene Parcon's MacBook,00:23:12:09:02:19,14.70033646,121.10262299,none,11,infra,20130506-00000,"2013-05-06, 11:00:00 PM","2013-05-06, 05:00:00 PM","2013-05-06, 03:00:00 PM"
Aztech5018_EA30F,00:26:75:CE:A3:0C,14.70457172,121.10164642,wpa,4,infra,20170609-00000,"2001-01-01, 04:00:00 PM","2017-06-09, 01:00:00 PM","2017-06-09, 01:00:00 PM"
NoPermanentPassword,00:1F:33:26:34:3C,14.69723415,121.09840393,wpa2,11,infra,20130424-00000,"2013-04-23, 09:00:00 PM","2013-05-07, 02:00:00 PM","2013-05-07, 12:00:00 PM"
CHRIS-PC_Network,00:24:01:BC:CF:ED,14.69931984,121.10189056,wpa2,6,infra,20130416-00000,"2013-04-16, 11:00:00 PM","2013-04-17, 05:00:00 AM","2013-04-17, 03:00:00 AM"
srdp_virus_2,20:AA:4B:67:06:8F,14.70087433,121.09778595,wpa2,6,infra,20131004-00000,"2013-10-02, 07:00:00 PM","2014-04-01, 03:00:00 AM","2015-07-26, 08:00:00 AM"
howell1,00:26:5A:25:56:40,14.69947624,121.10005188,wep,1,infra,20130506-00000,"2013-05-07, 12:00:00 AM","2013-05-07, 02:00:00 PM","2013-05-07, 12:00:00 PM"
MP3King Airwaves 5,02:A5:56:0B:D9:61,14.69900227,121.09819794,none,6,ad-hoc,20130507-00000,"2013-05-07, 11:00:00 PM","2013-05-07, 02:00:00 PM","2013-05-07, 12:00:00 PM"
HUAWEI Y600-U20,02:F8:1C:17:26:3D,14.70362473,121.09126282,wpa2,1,infra,20160227-00000,"2001-01-01, 04:00:00 PM","2016-02-27, 03:00:00 PM","2016-02-27, 03:00:00 PM"
YSAGANDA,00:86:12:08:0F:88,14.69803905,121.10093689,none,6,infra,20130424-00000,"2013-04-23, 09:00:00 PM","2013-04-25, 07:00:00 AM","2013-04-25, 05:00:00 AM"
ASUS,08:60:6E:D3:0E:A8,14.69823456,121.10124207,none,7,infra,20130424-00000,"2013-04-23, 09:00:00 PM","2013-04-25, 07:00:00 AM","2013-04-25, 05:00:00 AM"
Lenovo P700i,16:9F:E8:DE:F2:2E,14.7025671,121.09090424,wpa2,1,infra,20150126-00000,"2015-01-27, 06:00:00 AM","2015-01-26, 03:00:00 PM","2015-07-26, 08:00:00 AM"
DATUIN,14:D6:4D:8E:7C:36,14.69954872,121.10191345,wpa2,1,infra,20130506-00000,"2013-05-06, 11:00:00 PM","2013-05-06, 05:00:00 PM","2013-05-06, 03:00:00 PM"
G2 mini_1720,2C:54:CF:D5:5B:66,14.70457172,121.10164642,wpa2,6,infra,20170609-00000,"2001-01-01, 04:00:00 PM","2017-06-09, 01:00:00 PM","2017-06-09, 01:00:00 PM"
PLDTMyDSL,34:4B:50:49:15:BE,14.6999979,121.10240936,wpa2,11,infra,20130416-00000,"2013-04-16, 09:00:00 PM","2013-05-07, 02:00:00 PM","2013-05-07, 12:00:00 PM"
bayanDSL,38:46:08:F3:40:54,14.70697594,121.10283661,wpa,1,infra,20130506-00000,"2013-05-06, 11:00:00 PM","2013-05-06, 05:00:00 PM","2013-05-06, 03:00:00 PM"
Akcihr28,38:19:2F:CF:85:DA,14.6992569,121.09835052,wpa2,11,infra,20130416-00000,"2013-04-16, 09:00:00 PM","2013-04-25, 07:00:00 AM","2013-04-25, 05:00:00 AM"
President,20:AA:4B:C5:DF:55,14.69952297,121.09986115,wpa2,1,infra,20130507-00000,"2013-05-07, 11:00:00 PM","2013-05-07, 02:00:00 PM","2013-05-07, 12:00:00 PM"
bayanDSL,4C:09:B4:A3:45:91,14.69920063,121.10132599,wpa,1,infra,20130416-00000,"2013-04-16, 09:00:00 PM","2013-04-17, 05:00:00 AM","2013-04-17, 03:00:00 AM"
aaron,4C:09:B4:A6:C1:1F,14.70092678,121.10319519,wpa,1,infra,20130506-00000,"2013-05-06, 10:00:00 PM","2013-05-06, 05:00:00 PM","2013-05-06, 03:00:00 PM"
@AyalaMalls_GoWiFi,B4:5D:50:38:68:B1,14.70270157,121.09915924,unknown,36,infra,20170609-00000,"2001-01-01, 04:00:00 PM","2017-06-09, 01:00:00 PM","2017-06-09, 01:00:00 PM"
@GoWiFi_Auto,B4:5D:50:38:68:B4,14.70270157,121.09915924,unknown,36,infra,20170609-00000,"2001-01-01, 04:00:00 PM","2017-06-09, 01:00:00 PM","2017-06-09, 01:00:00 PM"
YTFanfest,B4:5D:50:38:68:B6,14.70270157,121.09915924,wpa2,36,infra,20170609-00000,"2001-01-01, 04:00:00 PM","2017-06-09, 01:00:00 PM","2017-06-09, 01:00:00 PM"
None,B4:5D:50:38:6D:73,14.70270157,121.09915924,unknown,255,infra,20170609-00000,"2001-01-01, 04:00:00 PM","2017-06-09, 01:00:00 PM","2017-06-09, 01:00:00 PM"
None,B4:5D:50:38:6D:75,14.70270157,121.09915924,unknown,255,infra,20170609-00000,"2001-01-01, 04:00:00 PM","2017-06-09, 01:00:00 PM","2017-06-09, 01:00:00 PM"
YTFanfest,B4:5D:50:38:6D:78,14.70270157,121.09915924,wpa2,255,infra,20170609-00000,"2001-01-01, 04:00:00 PM","2017-06-09, 01:00:00 PM","2017-06-09, 01:00:00 PM"
None,B4:5D:50:38:6D:C0,14.70457172,121.10164642,unknown,11,infra,20170609-00000,"2001-01-01, 04:00:00 PM","2017-06-09, 01:00:00 PM","2017-06-09, 01:00:00 PM"
@AyalaMalls_GoWiFi,B4:5D:50:38:6D:C1,14.70457172,121.10164642,unknown,11,infra,20170609-00000,"2001-01-01, 04:00:00 PM","2017-06-09, 01:00:00 PM","2017-06-09, 01:00:00 PM"
YTFanfest,B4:5D:50:38:6D:C2,14.70457172,121.10164642,wpa2,11,infra,20170609-00000,"2001-01-01, 04:00:00 PM","2017-06-09, 01:00:00 PM","2017-06-09, 01:00:00 PM"
YTFanfest,B4:5D:50:46:C3:E2,14.69896126,121.09418488,wpa2,1,infra,20170609-00000,"2001-01-01, 04:00:00 PM","2017-06-09, 01:00:00 PM","2017-06-09, 01:00:00 PM"
None,B4:5D:50:46:C3:E6,14.70457172,121.10164642,unknown,1,infra,20170609-00000,"2001-01-01, 04:00:00 PM","2017-06-09, 01:00:00 PM","2017-06-09, 01:00:00 PM"
nemadias,C4:05:28:10:51:7B,14.69803143,121.09059143,wpa2,7,infra,20150126-00000,"2015-01-27, 06:00:00 AM","2015-01-26, 03:00:00 PM","2015-07-26, 08:00:00 AM"
aquino,28:10:7B:F1:04:70,14.69939232,121.10047913,wpa2,1,infra,20130416-00000,"2013-04-16, 09:00:00 PM","2013-05-06, 05:00:00 PM","2013-05-06, 03:00:00 PM"
None,B4:5D:50:38:68:B3,14.70270157,121.09915924,unknown,36,infra,20170609-00000,"2001-01-01, 04:00:00 PM","2017-06-09, 01:00:00 PM","2017-06-09, 01:00:00 PM"
None,B4:5D:50:38:68:B5,14.70270157,121.09915924,unknown,36,infra,20170609-00000,"2001-01-01, 04:00:00 PM","2017-06-09, 01:00:00 PM","2017-06-09, 01:00:00 PM"
None,B4:5D:50:38:6D:C5,14.70457172,121.10164642,unknown,11,infra,20170609-00000,"2001-01-01, 04:00:00 PM","2017-06-09, 01:00:00 PM","2017-06-09, 01:00:00 PM"
Family Lounge,C4:01:7C:94:5F:2D,14.70457172,121.10164642,wpa,58,infra,20170609-00000,"2001-01-01, 04:00:00 PM","2017-06-09, 01:00:00 PM","2017-06-09, 01:00:00 PM"
None,C4:01:7C:54:5F:28,14.70457172,121.10164642,wpa2,1,infra,20170609-00000,"2001-01-01, 04:00:00 PM","2017-06-09, 01:00:00 PM","2017-06-09, 01:00:00 PM"
None,C4:01:7C:54:5F:2C,14.70457172,121.10164642,wpa2,58,infra,20170609-00000,"2001-01-01, 04:00:00 PM","2017-06-09, 01:00:00 PM","2017-06-09, 01:00:00 PM"
PLDTMyDSL,4C:AC:0A:88:8A:A9,14.69973755,121.09911346,wpa2,11,infra,20130416-00000,"2013-04-16, 09:00:00 PM","2013-05-06, 05:00:00 PM","2013-05-06, 03:00:00 PM"
David Yu 1,C0:C1:C0:02:92:24,14.69782352,121.10018158,wpa,1,infra,20130424-00000,"2013-04-23, 09:00:00 PM","2013-04-25, 07:00:00 AM","2013-04-25, 05:00:00 AM"
PLDTMyDSL,B0:B2:DC:FA:D9:8C,14.69805527,121.09962463,wpa2,11,infra,20130424-00000,"2013-04-23, 09:00:00 PM","2013-04-25, 07:00:00 AM","2013-04-25, 05:00:00 AM"
PLDTMyDSLLi-ann,C8:6C:87:6A:BF:70,14.69857502,121.09778595,wpa2,11,infra,20130416-00000,"2013-04-16, 09:00:00 PM","2013-04-17, 05:00:00 AM","2013-04-17, 03:00:00 AM"
sankit,4C:0B:3A:BD:3A:4A,14.69939613,121.1007843,wep,2,infra,20130424-00000,"2001-01-01, 04:00:00 PM","2013-05-07, 02:00:00 PM","2013-05-07, 12:00:00 PM"
PLDTMyDSLMYNET,50:67:F0:8F:B3:05,14.69935513,121.10185242,wep,11,infra,20130416-00000,"2013-04-16, 09:00:00 PM","2013-05-07, 02:00:00 PM","2013-05-07, 12:00:00 PM"
bayanDSL,4C:09:B4:A6:C8:7F,14.69948959,121.10196686,wpa,1,infra,20130416-00000,"2013-04-16, 09:00:00 PM","2013-05-07, 02:00:00 PM","2013-05-07, 12:00:00 PM"
anthony's wifi,4C:09:B4:A7:0F:77,14.69722939,121.09653473,wpa,1,infra,20130416-00000,"2013-04-16, 09:00:00 PM","2013-05-07, 02:00:00 PM","2013-05-07, 12:00:00 PM"
bayanDSL,4C:09:B4:A3:55:91,14.69920635,121.1013031,wpa,1,infra,20130416-00000,"2013-04-16, 09:00:00 PM","2013-05-07, 02:00:00 PM","2013-05-07, 12:00:00 PM"
Alexis02,6C:8B:2F:B9:15:63,14.69803238,121.09056854,wpa2,1,infra,20150126-00000,"2015-01-27, 06:00:00 AM","2015-01-26, 03:00:00 PM","2015-07-26, 08:00:00 AM"
Virus,88:53:D4:E7:90:62,14.70723915,121.10230255,wpa2,6,infra,20130506-00000,"2013-05-06, 11:00:00 PM","2013-05-06, 05:00:00 PM","2013-05-06, 03:00:00 PM"
Z-Net,74:EA:3A:FB:BD:A2,14.69946289,121.10015106,wpa2,1,infra,20130416-00000,"2013-04-16, 09:00:00 PM","2013-05-07, 02:00:00 PM","2013-05-07, 12:00:00 PM"
Antonia,58:6D:8F:2C:25:14,14.69943523,121.09851837,wpa2,1,infra,20130416-00000,"2013-04-16, 09:00:00 PM","2013-05-07, 02:00:00 PM","2013-05-07, 12:00:00 PM"
VIPinoy,94:F6:65:5B:A0:A9,14.70083141,121.09667206,wpa,6,infra,20170304-00000,"2001-01-01, 04:00:00 PM","2017-06-09, 01:00:00 PM","2017-06-09, 01:00:00 PM"
NTDCCPOS,94:F6:65:DB:A0:AC,14.69896126,121.09418488,wpa2,52,infra,20170304-00000,"2001-01-01, 04:00:00 PM","2017-06-09, 01:00:00 PM","2017-06-09, 01:00:00 PM"
None,94:F6:65:9B:A0:A8,14.70083141,121.09667206,wpa,6,infra,20170304-00000,"2001-01-01, 04:00:00 PM","2017-06-09, 01:00:00 PM","2017-06-09, 01:00:00 PM"
Family Lounge,94:F6:65:9B:A0:A9,14.70083141,121.09667206,wpa,6,infra,20170304-00000,"2001-01-01, 04:00:00 PM","2017-06-09, 01:00:00 PM","2017-06-09, 01:00:00 PM"
wifinimars,4C:E6:76:35:B5:90,14.69938374,121.10020447,wpa,5,infra,20130507-00000,"2013-05-07, 11:00:00 PM","2013-05-07, 02:00:00 PM","2013-05-07, 12:00:00 PM"
alya,4C:E6:76:43:10:72,14.69979382,121.10216522,wpa2,4,infra,20130424-00000,"2001-01-01, 04:00:00 PM","2013-05-07, 02:00:00 PM","2013-05-07, 12:00:00 PM"
BustamanteNet,68:7F:74:2F:0F:34,14.697258,121.0987854,wpa2,1,infra,20130507-00000,"2013-05-07, 10:00:00 PM","2013-05-07, 02:00:00 PM","2013-05-07, 12:00:00 PM"
PLDTMyDSL777OMAR,FC:F5:28:3E:63:E8,14.69952965,121.09978485,wpa2,11,infra,20130507-00000,"2013-05-07, 11:00:00 PM","2013-05-07, 02:00:00 PM","2013-05-07, 12:00:00 PM"
BROADWAY917,5C:F2:86:22:67:B0,14.70270157,121.09915924,wpa2,7,infra,20170609-00000,"2001-01-01, 04:00:00 PM","2017-06-09, 01:00:00 PM","2017-06-09, 01:00:00 PM"
SMARTEYE,88:53:D4:E7:BB:8E,14.69949913,121.10009766,wpa,1,infra,20130416-00000,"2013-04-16, 09:00:00 PM","2013-05-06, 03:00:00 PM","2015-07-26, 08:00:00 AM"
None,58:7F:66:F8:28:54,14.70457172,121.10164642,wpa2,10,infra,20170609-00000,"2001-01-01, 04:00:00 PM","2017-06-09, 01:00:00 PM","2017-06-09, 01:00:00 PM"
PLDTMyDSL,90:61:0C:0E:A3:81,14.69803143,121.09059143,wpa2,11,infra,20150126-00000,"2015-01-27, 06:00:00 AM","2015-01-26, 03:00:00 PM","2015-07-26, 08:00:00 AM"
PLDTMyDSL,90:61:0C:0E:D9:82,14.69925594,121.09841156,wep,11,infra,20130507-00000,"2013-05-07, 11:00:00 PM","2013-05-07, 02:00:00 PM","2013-05-07, 12:00:00 PM"
Plains,90:61:0C:0F:9F:59,14.69896126,121.09418488,wpa2,1,infra,20170609-00000,"2001-01-01, 04:00:00 PM","2017-06-09, 01:00:00 PM","2017-06-09, 01:00:00 PM"
leigh24,64:16:F0:91:2A:FE,14.69960117,121.09947205,wpa2,1,infra,20130506-00000,"2013-05-06, 10:00:00 PM","2013-05-06, 05:00:00 PM","2013-05-06, 03:00:00 PM"
Family Lounge,94:F6:65:9B:A0:AD,14.69896126,121.09418488,wpa,52,infra,20170304-00000,"2001-01-01, 04:00:00 PM","2017-06-09, 01:00:00 PM","2017-06-09, 01:00:00 PM"
amielsm_wifi_network,A0:F3:C1:4B:39:2D,14.69950485,121.09861755,wpa2,1,infra,20130416-00000,"2013-04-16, 09:00:00 PM","2013-04-17, 05:00:00 AM","2013-04-17, 03:00:00 AM"
domingo,A0:F3:C1:72:9E:36,14.69803333,121.09050751,wpa2,6,infra,20140917-00000,"2001-01-01, 04:00:00 PM","2015-01-26, 03:00:00 PM","2015-07-26, 08:00:00 AM"
Mitsubishi Wireless TV 108,7C:C7:09:76:D9:F1,14.69863987,121.09210968,unknown,44,infra,20171002-00000,"2001-01-01, 04:00:00 PM","2017-10-03, 06:00:00 AM","2017-10-03, 06:00:00 AM"
JOHNNY,78:44:76:1F:7F:CC,14.69954777,121.09986877,wep,11,infra,20130416-00000,"2013-04-16, 09:00:00 PM","2013-05-07, 02:00:00 PM","2013-05-07, 12:00:00 PM"
PLDTMyDSLJovita,CC:5D:4E:F1:B3:B0,14.69929695,121.10063171,wpa2,11,infra,20130507-00000,"2013-05-07, 11:00:00 PM","2013-05-07, 02:00:00 PM","2013-05-07, 12:00:00 PM"
PLDTMyDSLsherry,CC:5D:4E:F1:E1:10,14.6993103,121.10083771,wpa2,11,infra,20130416-00000,"2013-04-16, 09:00:00 PM","2013-04-17, 05:00:00 AM","2013-04-17, 03:00:00 AM"
ce9627,7C:05:07:23:9D:FB,14.69986534,121.09727478,wpa2,1,infra,20131004-00000,"2013-10-02, 07:00:00 PM","2014-04-01, 03:00:00 AM","2015-07-26, 08:00:00 AM"
