Common,168
BSSID,SSID,Wigle-Encryption,RPi-Encryption,Wigle-Channel,RPi-Channel,Wigle Avg RSSI,RPi Avg RSSI
d4:61:2e:5f:a2:46,Tags Wifi,[WPA2-PSK-CCMP][ESS],WPA2,6,6,-80,-77
58:70:c6:02:63:7a,YICarCam_02637a,[WPA2-PSK-CCMP][WPS][ESS],WPA2,5,5,-83,-74
08:23:b2:fc:09:18,Nogie,[WPA2-PSK-CCMP][ESS],WPA2,11,11,-86,-90
58:70:c6:f5:68:b4,YICarCamera,[WPA2-PSK-CCMP][WPS][ESS],WPA2,5,5,-85,-75
9c:e0:63:20:2e:9c,AndroidAP,[WPA2-PSK-CCMP][ESS],WPA2,6,48,-91,-91
08:78:08:48:a2:50,AndroidAP,[WPA2-PSK-CCMP][ESS],WPA2,1,1,-88,-85
d8:5d:4c:ff:6d:08,WiFi,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP-preauth][ESS],WPA2/WPA,11,11,-82,-89
88:3f:d3:05:e7:d0,HUAWEI-6443,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,11,11,-88,-89
88:3f:d3:06:29:38,HUAWEI-Bn7b,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,7,5,-85,-87
54:b8:0a:36:61:68,Central,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],WPA2/WPA,11,11,-77,-79
9c:6f:52:1c:a8:af,Meisha 0911,[WPA-PSK-CCMP+TKIP][WPS][ESS],WPA,1,1,-83,-80
00:13:33:ed:40:b8,PLDTHOMEDSLjbtvelandria,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,1,1,-86,-86
94:46:96:1d:48:72,PLDTHOMEDSL4J4E0,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,5,5,-81,-84
00:21:29:7b:5c:54,BalaiTalakayan,[WPA-PSK-TKIP][WPS][ESS],WPA,6,6,-90,-85
90:61:0c:39:d2:6e,PLDTHOMEDSL53870,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,11,11,-75,-84
00:1f:fb:ac:64:8b,Macaraeg,[WPA2-PSK-CCMP][WPS][ESS],WPA2,10,11,-82,-88
5e:f4:ab:36:7c:a0,PLDTMyDSLBiz,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,11,11,-83,-85
2c:44:fd:be:96:fd,HP-Print-FD-Deskjet 2540 series,[WPA2-PSK-CCMP][ESS],WPA2,6,6,-86,-86
78:c1:a7:05:c5:5c,LUCAS INTERNET,[WPA-PSK-CCMP+TKIP][ESS],WPA,2,2,-75,-71
a0:ab:1b:96:58:e0,Cumm4Me,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],WPA2/WPA,1,1,-81,-80
9c:d6:43:4b:26:df,PigPen,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],WPA2/WPA,2,2,-78,-73
fc:8b:97:35:83:6a,PLDTMyDSL,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],WPA2/WPA,11,11,-82,-85
a0:ab:1b:96:58:e1,Stingray-G,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,1,1,-81,-79
00:13:33:d3:4a:ff,PLDTHOMEDSL,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,11,11,-82,-83
90:61:0c:1f:66:ba,PLDTHOMEDSL,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],WPA2/WPA,11,11,-77,-82
90:61:0c:1f:66:5a,PLDTHOMEDSL,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],WPA2/WPA,11,11,-82,-84
78:c1:a7:05:24:a4,JnYglobe,[WPA-PSK-CCMP+TKIP][ESS],WPA,6,6,-87,-88
00:13:33:e5:f9:e2,PLDTHOMEDSLironman,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,11,11,-82,-90
d0:b2:c4:56:a3:0f,SKYbroadbandA30C,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,11,11,-86,-89
00:13:33:c6:69:4c,PLDTHOMEDSL,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,11,11,-83,-87
00:13:33:e7:96:ad,PLDTHOMEDSL,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,11,11,-79,-84
9c:6f:52:1c:a6:73,ZTEH108N_CA673,[WPA-PSK-CCMP+TKIP][WPS][ESS],WPA,6,6,-81,-88
94:fb:b2:59:aa:60,PLDTHOMEDSL,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],WPA2/WPA,11,11,-79,-82
c8:d3:a3:6f:65:84,dvt555,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],WPA2/WPA,1,1,-83,-86
e8:de:27:9a:b3:d8,NAFS,[WPS][ESS],WPA2/WPA,11,11,-81,-83
00:13:33:f5:c1:54,PLDTHOMEDSL_AF5Y,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,1,11,-86,-86
ec:f3:42:23:20:1c,jensen,[WPA-PSK-CCMP+TKIP][ESS],WPA,6,6,-87,-86
2c:4d:54:d9:fd:68,Dunby,[WPA2-PSK-CCMP][WPS][ESS],WPA2,3,6,-74,-81
fc:b4:e6:4a:ca:db,SKYbroadband1860,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],WPA2/WPA,1,1,-83,-87
14:b7:f8:0b:8d:9f,Tantoco AirPort Extreme,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,6,1,-84,-85
98:de:d0:be:64:29,TP-LINK_6429,[WPA2-PSK-CCMP][WPS][ESS],WPA2,2,2,-83,-76
00:26:75:f7:20:e4,benz,[WPA-PSK-CCMP+TKIP][ESS],WPA,10,10,-87,-82
94:46:96:1c:f6:15,E,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,1,1,-82,-89
48:00:33:62:3a:75,SKYbroadband3A72,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,1,1,-80,-80
94:0e:6b:57:19:3d,get off my wifi,[WPA2-PSK-CCMP][ESS],WPA2,10,10,-80,-81
cc:5d:4e:ac:d7:08,PLDTMyDSL19,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,11,11,-82,-88
5a:e3:47:f8:8c:b1,LDC_SAP_LENOVO-PC,[WPA2-PSK-CCMP][ESS],WPA2,11,11,-83,-83
48:00:33:62:30:f1,SKYbroadband30EE,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,1,1,-80,-83
4c:81:20:f3:29:bb,PLDTHOMEDSL329BB,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],WPA2/WPA,6,1,-88,-84
d4:7b:b0:53:b8:ab,Chewboiboi,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],WPA2/WPA,1,1,-86,-90
00:1f:fb:ac:7e:9d,HomeBro_ULTERA,[WPA2-PSK-CCMP][WPS][ESS],WPA2,11,11,-75,-81
50:c7:bf:7b:19:d4,TP-LINK MALINIS,[WPA-PSK-CCMP][WPA2-PSK-CCMP][WPS][ESS],WPA2/WPA,11,11,-82,-88
08:95:2a:89:3c:6a,SKYbroadband4321,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],WPA2/WPA,1,1,-84,-83
80:29:94:68:33:f5,SKYbroadband33F2,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,1,1,-84,-84
a4:2b:b0:f8:9e:87,PLDTHOMEDSL_AF5Y_EXT,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],WPA2/WPA,1,11,-83,-85
80:29:94:68:33:81,SKYbroadband337E,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,11,11,-78,-85
f8:d1:11:83:78:44,Virus Detected,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],WPA2/WPA,1,1,-82,-83
00:13:33:ce:c7:b8,PLDTHOMEDSL,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,11,11,-79,-85
00:18:f8:a4:31:fb,GPF,[WPA-PSK-TKIP][ESS],WPA,11,11,-86,-89
50:09:59:85:b9:e5,SKYbroadbandB9E2,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,1,1,-86,-84
48:00:33:f3:09:3d,SKYbroadband093A,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,1,1,-82,-86
00:1f:fb:ba:d2:8b,LynKoCus6-07,[WPA2-PSK-CCMP][WPS][ESS],WPA2,11,11,-85,-86
88:3f:d3:06:77:64,HUAWEI-68pF,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,4,10,-69,-80
48:00:33:62:32:59,SKYbroadband3256,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,11,1,-78,-81
58:70:c6:f7:42:4d,YICarCam_F7424D,[WPA2-PSK-CCMP][WPS][ESS],WPA2,5,6,-84,-85
8c:18:d9:71:91:1b,Mitsubishi Wireless TV 908,[ESS],OPN,6,6,-82,-82
50:09:59:84:f1:91,SKYbroadbandF18E,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,1,1,-85,-88
7a:31:c1:75:6c:83,iPhone,[WPA2-PSK-CCMP][ESS],WPA2,1,1,-86,-87
f6:9f:c2:57:be:90,Aralinks_Hub2,[WPA-PSK-CCMP][WPA2-PSK-CCMP][ESS],WPA2/WPA,1,1,-64,-76
fc:b4:e6:82:43:85,SKYbroadbandABA4,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],WPA2/WPA,6,6,-88,-89
4c:f9:5d:85:9a:fc,RBCTY1,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,6,6,-86,-86
00:19:be:81:32:e2,Altai_Wifi,[WPA2-PSK-CCMP][ESS],WPA2,6,6,-78,-82
78:c1:a7:24:27:66,Ragnarok1017,[WPA-PSK-CCMP+TKIP][WPS][ESS],WPA,1,1,-86,-86
f4:e3:fb:e5:49:fc,XRZ-850,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,7,5,-86,-74
32:cd:a7:f4:e7:de,DIRECT-TcM2070 Series,[WPA2-PSK-CCMP][WPS-AUTH][ESS],WPA2,1,1,-76,-79
90:61:0c:16:73:f9,PLDTMyDSL,[WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS],WPA2/WPA,11,11,-72,-82
bc:c0:0f:7b:d7:c0,FIBERHOME_bd7c0,[WPA-PSK-CCMP][WPA2-PSK-CCMP][ESS],WPA2/WPA,5,5,-75,-76
08:95:2a:e4:85:d8,SKYbroadband624F,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],WPA2/WPA,11,11,-85,-89
1e:74:0d:02:3c:c8,PLDTMyDSLBizADMIN,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],WPA2/WPA,1,1,-84,-88
c8:93:46:48:56:58,Think_485658,[WPA2-PSK-CCMP][ESS],WPA2,2,1,-86,-88
f4:f2:6d:94:56:14,OrangeSegment1,[WPA2-PSK-CCMP][WPS][ESS],WPA2,1,1,-77,-79
a4:2b:b0:c1:4c:87,SKYbroadband7B2C_EXT,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],WPA2/WPA,11,11,-88,-85
e0:8e:3c:2d:fa:d5,bayanDSLWIFI_FAD5,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,1,1,-76,-78
80:13:82:58:e6:2c,HUAWEI-E62C,[WPA2-PSK-CCMP][ESS],WPA2,8,8,-74,-77
f0:98:38:07:78:bc,8386CGA,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,11,7,-78,-79
34:ba:9a:55:c5:b6,,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,4,4,-72,-80
00:90:a9:0e:55:0b,CallaoMan,[WPA2-PSK-CCMP][WPS][ESS],WPA2,11,11,-64,-78
00:90:a9:10:89:7b,SunkenGalleon,[WPA2-PSK-CCMP][WPS][ESS],WPA2,6,6,-84,-83
00:90:a9:10:89:7c,GuestWiFi,[WPA2-PSK-CCMP][ESS],WPA2,6,6,-82,-83
f0:98:38:07:ce:cc,HUAWEI-sJ8b,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,7,7,-72,-79
94:46:96:1d:46:ce,PLDTHOMEDSLUJU40,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,11,11,-76,-78
70:5a:9e:84:02:80,MariaClare,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,11,11,-71,-81
76:4a:a4:c9:3e:4c,CECILLE,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],WPA2/WPA,6,6,-78,-83
cc:06:77:6f:30:40,SAIGON PHO1,[WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS],WPA2/WPA,7,7,-71,-73
14:b7:f8:0b:38:33,Chibutt,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,1,1,-82,-77
bc:c0:0f:7b:c2:08,FIBERHOME_bc208,[WPA-PSK-CCMP][WPA2-PSK-CCMP][ESS],WPA2/WPA,3,7,-77,-67
88:d2:74:86:c4:cb,bayanDSLWIFI_C4CB,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],WPA2/WPA,11,11,-81,-82
ac:86:74:4a:09:53,,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,5,5,-82,-75
ac:86:74:4a:09:52,CloudTrax,[ESS],OPN,5,5,-80,-76
ec:8c:a2:30:ff:28,#SmartWifi @StrEATMag,[ESS],OPN,1,1,-80,-70
00:13:33:ea:7b:21,trendzoneqc,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,5,5,-84,-77
90:61:0c:37:67:ff,PLDTHOMEDSL26623,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,1,1,-73,-76
38:d8:2f:22:3d:48,bayanDSLWiFi_3D48,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],WPA2/WPA,1,10,-65,-66
f0:98:38:f9:14:28,Fiber200,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,3,1,-73,-76
ac:f9:70:ec:e6:08,HUAWEI-7BDP,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,8,6,-74,-78
cc:1a:fa:97:cf:b8,bayanDSL,[WPA-PSK-CCMP+TKIP][ESS],WPA,10,4,-64,-72
9c:6f:52:34:ff:b7,Fatpipe@Moonleaf,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,11,11,-66,-76
9c:6f:52:34:ff:b6,Zentea,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],WPA2/WPA,1,11,-64,-75
70:8b:cd:b2:7b:60,Flower Poopoo :3 ,[WPA2-PSK-CCMP][WPS][ESS],WPA2,1,1,-87,-89
ba:4e:26:4c:0e:e3,,[WPA2-PSK-CCMP][ESS],WPA2,2,2,-84,-82
00:e0:20:3b:00:75,Extension 3,[WPA-PSK-CCMP][WPS][ESS],WPA,6,6,-85,-83
94:65:2d:23:6e:a5,FD-04,[ESS],OPN,11,11,-80,-73
fa:8f:ca:50:af:9a,,[ESS],OPN,11,11,-84,-83
cc:06:77:60:3e:98,PLDTHOMEFIBR03e98,[WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS],WPA2/WPA,1,1,-70,-78
74:cc:39:bb:51:38,AFMaginhawaOffice,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,11,11,-88,-88
00:13:33:dc:91:af,PLDTHOMEDSLDAL1,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,11,11,-70,-81
00:13:33:e8:f8:31,PLDTHOMEDSL,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,11,11,-88,-92
cc:06:77:e1:1f:90,PLDTHOMEFIBR11f90,[WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS],WPA2/WPA,5,5,-80,-82
cc:06:77:22:fb:60,PLDTHOMEFIBR2fb60,[WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS],WPA2/WPA,5,5,-87,-81
00:13:33:fb:45:3b,,[ESS],OPN,1,1,-85,-88
00:13:33:fb:45:3c,,[ESS],OPN,1,1,-88,-88
