Common,1
BSSID,SSID,Wigle-Encryption,Site-Encryption,Last Update
24:a4:3c:78:c6:4c,Annex2,[WPA2-PSK-CCMP][ESS],unknown,"2016-05-05, 06:00:00 PM"
 
Wigle Unique,274
BSSID,SSID,Wigle-Encryption,Wigle-Channel
d0:04:92:03:04:88,PLDTHOMEFIBRQuantum,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],9
5a:8b:f3:9c:cd:d8,PLDTOFFICE,[WPA-PSK-TKIP][WPS][ESS],7
5a:8b:f3:9c:cd:e0,AF Holy Spirit,[WPA-PSK-CCMP+TKIP][WPS][ESS],4
60:31:97:dd:09:bc,Wolfe_Company,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],12
06:d6:aa:9e:e9:5a,AndroidAP,[WPA2-PSK-CCMP][ESS],6
b0:b9:8a:46:9b:8c,NETGEAR00,[WPA2-PSK-CCMP][WPS][ESS],4
3e:36:bb:9d:da:53,Bernadette Chantle?s iPhone,[WPA2-PSK-CCMP][ESS],1
fc:8b:97:38:fc:db,PLDTMyDSL_therockh,[WPA2-PSK-CCMP][WPS][ESS],11
c0:c1:c0:e7:d4:69,The Frame,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],1
e0:a3:ac:4f:a2:5c,1,[WPA2-PSK-CCMP][ESS],1
24:1f:a0:79:0d:18,B315_90D18,[WPA-PSK-CCMP][WPA2-PSK-CCMP][ESS],5
88:3f:d3:05:d5:c0,AnytimeFitnessMembers,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],7
98:e7:f5:90:21:92,davebb,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],9
32:cd:a7:38:42:0f,DIRECT-8aM2020 Series,[WPA2-PSK-CCMP][WPS-AUTH][ESS][P2P],11
c0:c1:c0:e7:d4:6a,The Frame-guest,[ESS],1
c8:60:00:e4:70:cc,wcnet,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],1
51502_30229_210031200,Globe,HSPA;ph,0
24:a4:3c:74:4f:e1,HolySpirit3,[WPA2-PSK-CCMP][ESS],136
f0:9f:c2:9c:45:4e,BHSQC-PA2,[WPA2-PSK-CCMP][ESS],36
00:13:33:cc:2f:03,PLDTHOMEDSLMPBAC1214,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],11
d4:6e:0e:49:c1:cc,TP-LINK_C1CC,[WPA2-PSK-CCMP][WPS][ESS],2
90:61:0c:1f:5c:75,PLDTHOMEDSL,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],11
66:a5:c3:8f:96:49,Myke?s iPhone,[WPA2-PSK-CCMP][ESS],1
e4:6f:13:64:45:5c,Omakase DA,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],9
00:13:33:ff:73:4d,PLDTHOMEDSLNailCocktales,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],1
f0:98:38:3d:90:80,HUAWEI-rvf2,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],6
94:46:96:0f:83:6c,PLDTHOMEDSL,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],11
00:13:33:ea:58:2a,PLDTHOMEDSL,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],11
cc:06:77:76:52:64,PLDTHOMEFIBR5G65260,[WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS],44
10:7b:44:ca:85:40,Hermes,[WPA2-PSK-CCMP][WPS][ESS],6
cc:06:77:76:52:60,PLDTHOMEFIBR65260,[WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS],8
5c:54:6d:43:f1:b8,RGAMILLA,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],1
51502_30229_209979518,Globe,HSPA;ph,0
9c:3d:cf:1a:c7:37,NETGEAR32-5G,[WPA2-PSK-CCMP][WPS][ESS],153
0c:54:a5:15:7b:6b,481534,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],1
cc:a2:23:a1:18:f0,modnails,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],1
cc:06:77:76:5e:c4,modnails,[WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS],36
b4:75:0e:f9:5d:7b,Linksys01468_5GHz,[WPA2-PSK-CCMP][WPS][ESS],40
10:7b:44:ca:60:48,Hermes,[WPA2-PSK-CCMP][WPS][ESS],6
88:3f:d3:05:d3:5c,HUAWEI-W8KB,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],11
10:7b:44:ca:85:44,Hermes,[WPA2-PSK-CCMP][WPS][ESS],40
cc:06:77:76:5e:c0,modnails,[WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS],1
9c:3d:cf:1a:c7:38,NETGEAR32,[WPA2-PSK-CCMP][WPS][ESS],13
10:7b:44:ca:7f:90,Hermes,[WPA2-PSK-CCMP][WPS][ESS],6
20:aa:4b:5e:37:0b,LittleZebra,[WPA-PSK-TKIP][WPA2-PSK-CCMP][WPS][ESS],4
26:aa:4b:5e:37:0b,LittleZebra-guest,[ESS],4
10:7b:44:44:64:e0,FlashRouter24,[WPA2-PSK-CCMP][ESS],1
3c:1e:04:0d:98:4a,Mojo,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],9
f0:98:38:a0:20:38,NBI Surveillance,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],11
b4:75:0e:f9:5d:7a,happycow,[WPA2-PSK-CCMP][WPS][ESS],1
b6:75:0e:f9:5d:7c,happycow-guest,[ESS],1
51502_30229_210040831,Globe,HSPA;ph,0
e0:8e:3c:0b:5d:82,Aztech 01,[WPA2-PSK-CCMP][WPS][ESS],6
cc:06:77:6f:f1:08,Segunial,[WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS],5
90:61:0c:2e:bf:c8,PLDTHOMEDSL49096,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],1
f0:98:38:f9:0a:74,mjcortes,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],1
fc:b4:e6:a9:28:e5,A&K Home,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],11
00:16:b6:ed:3d:58,linksys,[ESS],6
cc:06:77:6f:f1:0c,Segunial5g,[WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS],36
e8:40:f2:da:bf:7e,c86964,[WPA-PSK-TKIP][WPS][ESS],1
7a:40:4e:9d:99:5b,Sheena Martinez,[WPA2-PSK-CCMP][ESS],11
90:61:0c:3e:af:30,PLDTHOMEDSL44848,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],1
84:16:f9:ec:1c:b4,EZ office 2,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2
2c:dd:95:f4:06:0a,PLDTHOMEDSL4060A,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],6
f0:98:38:f9:56:4c,HUAWEI-QhMs,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2
90:61:0c:2e:40:3a,PLDTHOMEDSL16442,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],1
cc:06:77:22:87:50,Mendoza,[WPA-PSK-TKIP][WPA2-PSK-CCMP][WPS][ESS],5
94:46:96:16:90:03,PLDTHOMEDSLGRGM0,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2
f0:98:38:a0:16:0c,IKOT,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],6
94:46:96:16:f9:5d,PLDTHOMEDSLZFZF0,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],5
bc:96:80:d9:a2:7e,PLDTMyDSL,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],11
7c:8b:ca:31:36:36,KUYA GLEN WIFI-HOTSPOT,[ESS],2
cc:06:77:b5:6b:8c,VALDERRAMA_5G,[WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS],36
c0:56:27:84:57:ad,ac9ad6,[WPA2-PSK-CCMP][WPS][ESS],11
cc:06:77:6f:c5:2c,DoNotUse FIBR_Sulit5G,[WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS],36
cc:06:77:6f:c5:28,Use FIBR_Sulit2.4G,[WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS],11
cc:06:77:75:8d:64,PLDTHOMEFIBR5G58d60,[WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS],36
00:1a:ef:46:d5:67,montsrous101,[WPA-PSK-CCMP][ESS],1
d8:5d:4c:9f:64:e0,TP-LINK_9F64E0,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],1
2c:4d:54:e7:87:c1,MOMARCO_WiFi,[WPA2-PSK-CCMP][ESS],2
2c:4d:54:e7:87:c0,Adrian's_WiFi,[WPA2-PSK-CCMP][WPS][ESS],2
90:61:0c:2e:95:a5,PLDTHOMEDSL38309,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],1
f0:98:38:07:6c:d8,HYPRTONIC,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],11
90:f6:52:df:2f:59,MONTSTER101,[WPA-?][WPA2-?][ESS],1
88:3f:d3:2c:53:c8,SY FAMILY,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],3
94:46:96:14:b6:d1,PLDTHOMEDSLT6TB0,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2
cc:06:77:75:8d:60,PLDTHOMEFIBR58d60,[WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS],1
14:ab:f0:4c:cb:10,ARRIS-CB12,[WPA2-PSK-CCMP][WPS][ESS],11
cc:06:77:5b:96:ac,Pugad Baboy,[WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS],36
cc:06:77:5b:96:a8,H&M,[WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS],8
00:13:33:ea:e1:19,PLDTHOMEDSL,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],11
00:13:33:ff:72:80,PLDTHOMEDSLDAVID,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2
00:13:33:ff:72:84,,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2
00:13:33:ed:3f:82,PLDTHOMEDSLAganon,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2
60:02:92:3d:f9:8f,a8d3c4,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],6
84:16:f9:78:ca:3c,TP-LINK_WA855RE,[WPA2-PSK-CCMP+TKIP][WPS][ESS],11
bc:96:80:d9:83:8e,PLDTMyDSL,[WPA2-PSK-CCMP][WPS][ESS],11
51502_30229_210018752,Globe,HSPA;ph,0
90:61:0c:3a:81:21,Bayad muna bago connect,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],1
90:61:0c:3a:47:39,PLDTHOMEDSL18233,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],11
f4:9e:ef:d1:1e:d0,PLDTHOMEDSLMIRALLES,[WPA2-PSK-CCMP][WPS][ESS],11
c4:e9:84:66:f9:36,PLDTHOMEDSL,[WPA2-PSK-CCMP][WPS][ESS],2
88:d2:74:a9:8c:20,ZTEH108N_98C20,[WPA-PSK-CCMP+TKIP][WPS][ESS],1
24:a4:3c:78:cc:0f,Annex3,[WPA2-PSK-CCMP][ESS],40
e0:8e:3c:2e:7e:21,Aztech5068_E7E21,[WPA-PSK-CCMP+TKIP][ESS],1
f0:98:38:f9:18:34,HappyHome,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],4
00:13:33:f6:1c:4e,PLDTHOMEDSL_BOY3T,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],1
90:61:0c:35:ee:8f,PLDTHOMEDSL_Yeoboseyo,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],11
00:13:33:f4:e9:05,PLDTHOMEDSL,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],9
00:13:33:dd:f2:f5,connect_ka,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],11
70:9f:2d:a0:16:6c,,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],10
76:4a:a4:cd:f2:9d,Smart Bro_CDF29D,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],10
1c:74:0d:16:63:78,PLDTHOMEDSLnapier,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],4
90:61:0c:35:4c:00,haideelhynnford,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],1
00:13:33:dd:f2:f4,,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],11
94:46:96:16:d4:0f,MaveeWifi,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],1
08:86:3b:e2:8b:0e,connectkaboi,[WPA2-PSK-CCMP][WPS][ESS],6
94:a7:b7:26:60:bd,bayanDSLWIFI_60BD,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],3
90:61:0c:35:bb:f0,PLDTHOMEDSLWALANGLIBRE,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],1
38:d4:0b:03:8a:d9,S8 edge plus,[WPA2-PSK-CCMP][ESS],6
00:13:33:e7:bf:1b,PLDTHOMEDSL,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],11
9c:6f:52:19:a3:93,ZTEH108N_9A393,[WPA-PSK-CCMP+TKIP][WPS][ESS],10
94:46:96:1d:32:dd,PLDTHOMEDSLMQMQ0,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],5
9c:6f:52:35:1b:c7,Waki Center,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],1
e4:77:23:a5:f9:80,Theo & Joaquin,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2
1c:dd:ea:e2:63:51,BESO-aGVpZHM,[ESS],6
00:13:33:f5:8f:27,PLDTHOMEDSL,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],9
f4:9e:ef:d1:22:9c,PLDTHOMEDSLMarkz,[WPA2-PSK-CCMP][WPS][ESS],5
94:46:96:1d:02:d6,PLDTHOMEDSLSFSK0,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],5
00:13:33:f7:a0:d2,PLDTHOMEDSL-angelica,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],1
00:13:33:e3:64:82,PLDTHOMEDSL,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],11
90:61:0c:17:e5:c3,,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],11
90:61:0c:17:e5:c4,PPIQC,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],11
00:13:33:f9:ee:5f,PLDTHOMEDSL,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],11
34:ba:9a:54:8c:ec,MICAYA,[WPA2-PSK-CCMP][WPS][ESS],9
88:3f:d3:06:8d:18,chikichikii ,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],5
f8:df:a8:78:39:ae,GLOBE_7839AE,[WPA-PSK-CCMP][WPA2-PSK-CCMP][ESS],2
90:61:0c:3a:81:20,kasmot,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],1
00:13:33:f6:8e:5e,PLDTHOMEDSLFairyTail,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],1
1c:74:0d:17:86:34,PLDTHOMEDSL63VRU,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],10
34:6b:d3:b1:0a:2f,Connect4G,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],7
e8:94:f6:42:c4:54,TP-LINK_42C454,[WPA2-PSK-CCMP][WPS][ESS],4
d0:65:ca:20:00:9f,HUAWEI-009F,[WPA2-PSK-CCMP][ESS],5
42:53:49:86:58:7b,Connectify-me,[WPA2-PSK-CCMP][ESS],11
90:61:0c:2e:42:a2,PLDTHOMEDSL17058,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],1
90:61:0c:35:cd:53,TUERCA,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],11
00:1e:c8:a0:5f:c2,NielLyn,[WPA2-PSK-CCMP][ESS],6
94:46:96:18:a2:2b,Saaminlangtoh,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],10
88:3f:d3:05:de:ec,Thranduil,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],3
bc:3f:8f:d1:ce:9c,superkalan,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],5
1e:1e:e3:00:0a:ba,DIRECT-Cj,[WPA2-PSK-CCMP][WPS][ESS],6
94:46:96:1d:87:d8,2pac,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],11
90:61:0c:35:4a:77,PLDTHOMEDSL19063,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],11
90:61:0c:3a:48:73,PLDTHOMEDSL18547,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],1
e0:8e:3c:16:80:25,virus,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],1
90:61:0c:3a:b1:2e,PLDTHOMEDSL45358,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],11
1c:74:0d:1a:af:88,PLDTHOMEDSL38PYE,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],7
00:13:33:db:08:e4,PLDTHOMEDSLDefault,[WPA-PSK-TKIP][ESS],2
94:46:96:1f:ef:91,SOPHIA2018,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],11
9c:6f:52:1d:24:9f,ZTEH108N_D249F,[WPA-PSK-CCMP+TKIP][WPS][ESS],2
00:1f:fb:ba:84:57,HomeBro_ULTERA,[WPA2-PSK-CCMP][WPS][ESS],1
8c:34:fd:41:07:7d,HUAWEI-E5330-077D,[WPA2-PSK-CCMP][ESS],11
58:6d:8f:6d:f7:cc,CiscoD2521,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],6
00:26:75:f7:0d:74,virus,[WPA-PSK-CCMP+TKIP][ESS],1
c4:86:e9:ac:47:b8,Kjopzcarwash,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],1
d8:d8:66:00:b2:c7,Maricel,[WPA2-PSK-CCMP][WPS][ESS],2
b8:ec:a3:44:9e:ef,PLDTWIFIMANGSIMON,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],13
34:ba:9a:57:54:f9,nightmare ,[WPA2-PSK-CCMP][WPS][ESS],8
00:13:33:fc:e8:8a,PLDTHOMEDSL,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2
f0:98:38:a0:12:24,HUAWEI-2sbr,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],3
86:be:52:de:f0:df,Hide yo wifi,[WPA2-PSK-CCMP][WPS][ESS],11
0c:bd:51:2c:a7:95,Smart Bro_A795,[WPA-PSK-CCMP][WPS][ESS],3
e4:18:6b:c2:8d:54,MIGO,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],6
78:c1:a7:05:4f:28,nathanstore,[WPA-PSK-CCMP+TKIP][ESS],5
78:c1:a7:02:bd:58,ZTEH108N_2BD58,[WPA-PSK-CCMP+TKIP][ESS],11
a0:f8:49:ee:88:e0,REGION IV-A,[WPA2-PSK-CCMP][ESS],6
a0:f8:49:ee:88:ef,REGION IV-A,[WPA2-PSK-CCMP][ESS],36
a0:f8:49:ee:9e:cd,COA Exclusive,[WPA2-PSK-CCMP][ESS],36
88:3f:d3:06:0e:20,hula,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],11
51502_20212_53098,Globe,EDGE;ph,0
00:26:75:ea:cb:14,gppcoa,[WPA-PSK-CCMP+TKIP][ESS],11
aa:a6:68:80:aa:70,Ang Smart mo Bro,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],1
f0:98:38:a0:1c:08,dckyle,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],11
34:ba:9a:54:9b:5a,Smart_Bro_549B5A,[WPA2-PSK-CCMP][WPS][ESS],7
88:3f:d3:06:83:bc,parllyn,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],4
00:26:75:d4:57:08,MOAOPT1,[WPA-PSK-CCMP+TKIP][ESS],4
90:61:0c:1d:0b:56,COA_SYATOY,[WPA2-PSK-CCMP][WPS][ESS],11
94:46:96:19:53:79,PLDTHOMEDSLMWM00,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],1
2c:4d:54:7a:33:ba,sample,[WPA2-PSK-CCMP][ESS],1
84:16:f9:ec:34:64,SUPERGIVEN,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],1
90:61:0c:35:4a:ff,PLDTHOMEDSL19199,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],1
94:a7:b7:26:4d:96,bayanDSLWIFI_4D96,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],7
9e:a9:e4:d4:ca:b0,jaycee,[WPA2-PSK-CCMP][WPS][ESS],11
c8:14:51:59:e5:c6,HUAWEI-E5C6,[WPA2-PSK-CCMP][ESS],1
f0:98:38:a0:11:f0,jasperanz,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],10
2c:dd:95:f4:07:8a,PLDTHOMEDSL4078A,[WPA2-PSK-CCMP][WPS][ESS],6
90:61:0c:40:ad:af,PLDTHOMEDSL44463,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],1
88:d2:74:86:cb:86,Secret!!!,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],10
e4:72:e2:f3:a0:a0,Alberto Family,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],11
00:13:33:f7:5b:ef,PLDTHOMEDSL,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2
bc:c0:0f:7b:bc:10,REMEDIOS,[WPA-PSK-CCMP][WPA2-PSK-CCMP][ESS],2
94:a7:b7:26:61:87,jaredcamuel1,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2
24:a4:3c:78:cc:c5,Link1,[ESS],153
78:c1:a7:06:58:08,buraot kaba,[WPA-PSK-CCMP+TKIP][ESS],5
f0:98:38:72:f2:2c,Hellokitty,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],3
78:c1:a7:05:40:5c,ZTEH108N_5405C,[WPA-PSK-CCMP+TKIP][ESS],11
90:61:0c:37:76:20,PLDTHOMEDSL30240,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],1
f0:98:38:07:e9:28,HUAWEI-t8s9,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],11
94:46:96:1f:4a:32,PLDTHOMEDSLCTCP0,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],1
6c:3b:6b:d7:3d:94,MikroTik-D73D94,[WPA-PSK-CCMP][WPA2-PSK-CCMP][WPS][ESS],1
88:d2:74:86:b7:bc,bayanDSLWIFI_B7BC,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],1
1c:74:0d:15:ac:20,PLDTHOMEDSLpoof,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],6
70:9f:2d:a0:5c:18,bayanDSLWiFi_5C18,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],10
18:de:d7:34:13:80,HUAWEI-8vpD,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],10
00:26:75:ce:9e:c8,CDSMVL2006,[WPA-PSK-CCMP+TKIP][ESS],3
9c:6f:52:35:01:38,DAXEL,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],10
9c:6f:52:34:fd:bc,bayanDSLWIFI_FDBC,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],1
90:61:0c:2c:81:0b,globe,[WPA2-PSK-CCMP][WPS][ESS],11
94:46:96:17:05:ab,BALADADFAMILY,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],5
90:61:0c:3a:85:d2,,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],1
